SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
77,no_pca,linear,20.0,1,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
78,no_pca,linear,10.0,scale,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
79,no_pca,linear,10.0,auto,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
80,no_pca,linear,10.0,0.001,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
81,no_pca,linear,10.0,0.01,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
82,no_pca,linear,10.0,0.1,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
83,no_pca,linear,10.0,1,0.7613839729568502,0.7507270461154965,0.8034682080924855,0.7044834307992203,0.689119170984456,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.75,0.6947368421052632,0.584070796460177,0.8571428571428571
84,no_pca,linear,1.0,scale,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
85,no_pca,linear,1.0,auto,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
86,no_pca,linear,1.0,0.001,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
87,no_pca,linear,1.0,0.01,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
88,no_pca,linear,1.0,0.1,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
89,no_pca,linear,1.0,1,0.7442831576854245,0.7325291181364393,0.785109228711547,0.6865497076023391,0.6787564766839378,0.3404255319148936,0.27586206896551724,0.4444444444444444,0.7672413793103449,0.7096774193548387,0.6055045871559633,0.8571428571428571
90,no_pca,linear,0.1,scale,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
91,no_pca,linear,0.1,auto,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
92,no_pca,linear,0.1,0.001,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
93,no_pca,linear,0.1,0.01,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
94,no_pca,linear,0.1,0.1,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
95,no_pca,linear,0.1,1,0.7434877709286141,0.7352216748768473,0.776332899869961,0.6982456140350877,0.6580310880829016,0.3125,0.25,0.4166666666666667,0.7456896551724138,0.6910994764397905,0.5789473684210527,0.8571428571428571
96,no_pca,linear,0.01,scale,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
