Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
4114949705741868,0.420453,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5366254881485700,0.409886,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6329266553042633,0.409387,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6919546861525360,0.420876,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1850008260490810,0.420589,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6605908267247779,0.421041,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6247027905943430,0.420707,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5038659741009961,0.421037,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2897418669231599,0.420706,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
166151259742970,0.421152,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4509675321357106,0.421037,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
136550749346824,0.411382,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4974279028097240,0.411058,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3802223360970459,0.421016,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9526097624882272,0.420683,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
769730482732033,0.421006,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
53062649876708,0.420505,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
511371977218012,0.411631,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3687349453133719,0.411129,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8293651435929632,0.420865,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9944480604614633,0.420371,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
